gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
23305,D015212,2016,2194,1
23308,D015212,2015,940,1
23365,D015212,2011,2768,1
23370,D015212,2016,6794,1
23381,D015212,2016,55012,1
23382,D015212,2010,1788,1
23396,D015212,2017,5336,1
23411,D015212,2012,4790,1
23462,D015212,2015,4851,1
23474,D015212,2015,6821,1
23493,D015212,2015,4851,1
23566,D015212,2011,2768,1
23590,D015212,2015,79947,1
23592,D015212,2010,4088,1
23643,D015212,2016,7099,1
23646,D015212,2015,5321,1
23659,D015212,2015,5321,1
23683,D015212,2012,5579,1
23710,D015212,2007,55054,1
23761,D015212,2015,5321,1
23765,D015212,2015,10758,1
25759,D015212,2012,3717,1
25780,D015212,2010,781,1
25791,D015212,2015,2050,1
25833,D015212,2016,958,1
25847,D015212,2017,51343,1
25851,D015212,2011,9474,1
25865,D015212,2012,5579,1
25906,D015212,2017,51343,1
26007,D015212,2015,64135,1
26037,D015212,2020,5906,1
26060,D015212,2016,6794,1
26100,D015212,2007,55054,1
26279,D015212,2012,9415,1
26508,D015212,2015,4851,1
27035,D015212,2012,5579,1
27040,D015212,2010,51744,1
27091,D015212,2015,10125,1
27092,D015212,2015,10125,1
27124,D015212,2012,253430,1
27349,D015212,2016,2194,1
27430,D015212,2010,1788,1
27436,D015212,2012,3717,1
28227,D015212,2010,781,1
28514,D015212,2015,4851,1
29108,D015212,2019,22861,1
29110,D015212,2012,4790,1
29119,D015212,2017,999,1
29126,D015212,2008,6774,1
29760,D015212,2017,5336,1
29775,D015212,2012,5579,1
29785,D015212,2013,8854,1
29882,D015212,2017,51343,1
29904,D015212,2012,5579,1
29922,D015212,2012,114,1
29945,D015212,2017,51343,1
29956,D015212,2015,2581,1
30009,D015212,2012,6775,1
30814,D015212,2012,9415,1
30833,D015212,2008,144811,1
30835,D015212,2009,3586,1
30837,D015212,2008,6774,1
50487,D015212,2012,9415,1
50507,D015212,2012,5579,1
50615,D015212,2008,6774,1
50616,D015212,2008,6774,1
50700,D015212,2013,8854,1
50940,D015212,2012,114,1
50943,D015212,2010,4088,1
51102,D015212,2016,2194,1
51109,D015212,2013,8854,1
51135,D015212,2015,23118,1
51176,D015212,2017,896,1
51196,D015212,2012,253430,1
51422,D015212,2016,6794,1
51433,D015212,2017,51343,1
51434,D015212,2017,51343,1
51529,D015212,2017,51343,1
51561,D015212,2007,149233,1
51703,D015212,2016,2194,1
51735,D015212,2014,9223,1
51763,D015212,2012,253430,1
51764,D015212,2012,5579,1
51806,D015212,2012,114,1
51816,D015212,2008,144811,1
53342,D015212,2015,4772,1
53358,D015212,2012,3717,1
53630,D015212,2013,8854,1
53632,D015212,2016,6794,1
53637,D015212,2011,2768,1
54205,D015212,2008,120892,1
54331,D015212,2012,5579,1
54490,D015212,2013,8854,1
54518,D015212,2020,5906,1
54567,D015212,2015,4851,1
54575,D015212,2013,8854,1
54576,D015212,2013,8854,1
54577,D015212,2013,8854,1
54578,D015212,2013,8854,1
54579,D015212,2013,8854,1
54583,D015212,2012,5579,1
54600,D015212,2013,8854,1
54657,D015212,2013,8854,1
54658,D015212,2013,8854,1
54659,D015212,2013,8854,1
54894,D015212,2012,84870,1
54905,D015212,2013,8854,1
54928,D015212,2017,5336,1
54941,D015212,2015,64135,1
54947,D015212,2015,5321,1
54979,D015212,2012,9415,1
54995,D015212,2016,2194,1
55062,D015212,2007,55054,1
55300,D015212,2017,5336,1
55301,D015212,2016,2194,1
55361,D015212,2017,5336,1
55366,D015212,2012,84870,1
55512,D015212,2015,2581,1
55613,D015212,2017,5336,1
55627,D015212,2015,2581,1
55799,D015212,2015,10125,1
55844,D015212,2010,781,1
55879,D015212,2010,5334,1
55914,D015212,2006,64127,1
55970,D015212,2012,5579,1
56270,D015212,2007,55054,1
56302,D015212,2012,5579,1
56413,D015212,2016,2776,1
56603,D015212,2013,8854,1
56623,D015212,2017,5336,1
56624,D015212,2015,2581,1
56832,D015212,2012,4790,1
56848,D015212,2012,5579,1
56953,D015212,2008,144811,1
56994,D015212,2015,5321,1
57105,D015212,2016,2776,1
57107,D015212,2015,79947,1
57121,D015212,2011,2768,1
57369,D015212,2012,5579,1
57506,D015212,2006,64127,1
57521,D015212,2016,6198,1
57568,D015212,2020,5906,1
57704,D015212,2015,2581,1
59067,D015212,2008,6774,1
59283,D015212,2015,10125,1
59284,D015212,2015,10125,1
59285,D015212,2015,10125,1
59341,D015212,2012,5579,1
59345,D015212,2012,5579,1
59352,D015212,2012,84870,1
60436,D015212,2010,4088,1
64283,D015212,2015,2185,1
64411,D015212,2020,5906,1
64419,D015212,2017,5336,1
64581,D015212,2011,4046,1
64600,D015212,2012,9415,1
